Date,MC_Dakar,InciDak,Rainfall,Rainfall_N,MC_Nplusdeux,Tempmin_Dakar,AveT_Dakar,Tempmax_Dakar,Humidity_D,Milda_D,ACT_D,Death_D,MC_Kedougou,InciKed,Tempmin_Kedougou,Tempmax_Kedougou,Rainfall_K,RainfallKed_N,MCKed_Nplusun,Humidity_K,Mcked_Nplus1,Milda_K,ACT_K,Death_K,MC_Fatick,InciFat,Tempmin_Fatick,Tempmax_Fatick,Rainfall_F,RainfallFat_N,MCFat_Nplusdeux,Humidity_F,MCFat_Nplus3,Milda_F,ACT_F,Death_F
1/31/2008,823,0.331548157,0,0,588,20.02,21.475,22.93,68.95,0,0,0,59,0.496127681,13.5,35.94,0,0,81,19.99,81,0,0,0,622,0.990755076,6.47,37.51,0,0,433,12.69,269,0,0,0
2/29/2008,968,0.389961866,1.6,1.6,674,17.56,22.645,27.73,83.71,0,0,0,81,0.681124444,19.66,39.91,0,0,30,41.53,30,0,0,0,591,0.941376608,11.33,41.49,1.4,1.4,269,12.24,294,0,0,0
3/31/2008,588,0.236877662,0,1.6,632,18.05,22.82,27.59,90.63,0,0,0,30,0.252268313,21.61,41.22,0,0,224,49.59,224,0,0,0,433,0.689705704,13.25,43.48,0,1.4,294,17.56,284,0,0,0
4/30/2008,674,0.271523035,0,1.6,584,17.36,20.705,24.05,93.75,0,0,0,224,1.883603401,22.68,41.8,0,0,186,55.09,186,0,0,0,269,0.428477678,14.01,44.27,0,1.4,284,24.06,586,0,0,0
5/31/2008,632,0.254603202,0,1.6,1274,18.16,21.245,24.33,91.89,0,0,0,186,1.564063538,24.92,42.48,22.4,22.4,347,49.63,347,0,0,0,294,0.468299023,14.96,46.85,7.5,8.9,586,31.42,913,0,0,0
6/30/2008,584,0.23526625,0.3,1.9,1930,20.16,23.075,25.99,92.46,0,0,0,347,2.917903482,22.63,39.69,103.1,125.5,1063,58.87,1063,0,0,0,284,0.452370485,19.38,45.11,1.4,10.3,913,52.25,1180,0,0,0
7/31/2008,1274,0.513234935,106.2,108.1,4239,23.24,25.65,28.06,88.33,0,0,0,1063,8.938707209,22.05,32.64,269.8,395.3,1082,68.14,1082,0,0,0,586,0.933412339,23.2,38.54,49.6,59.9,1180,78.73,2669,0,0,0
8/31/2008,1930,0.777506613,164.1,272.2,9336,23.36,25.77,28.18,85.95,0,0,0,1082,9.09847714,20.88,31.73,275.8,671.1,1359,76.99,1359,0,0,0,913,1.454275538,22.75,36.11,77,136.9,2669,84,3023,0,0,0
9/30/2008,4239,1.707694576,226.6,498.8,10351,25.06,27.305,29.55,85.93,0,0,0,1359,11.42775456,21.77,34.89,201.6,872.7,1458,72.81,1458,0,0,0,1180,1.879567508,23.03,39.29,56.3,193.2,3023,79.34,1004,0,0,0
10/31/2008,9336,3.76103717,12.7,511,5580,24.61,27.895,31.18,81.4,0,0,0,1458,12.26023999,22.48,35.42,145.7,1018.4,1121,62.45,1121,0,0,0,2669,4.251326847,19.49,39.58,22.3,22.3,1004,65.45,528,0,0,0
